SHIP'S NA,AKA,SHIP'S O,VESSEL TY,YEAR BUIL,WHERE B,DATE LOS,YEAR,MNTH,DAY,LOCATIO,Latitude,Longitude,LATITUDE,LONGITU,CAUSE OF,CONSTRU,FLAG,LENGTH,BEAM,DRAFT,GROSS TO,NET TON,HOME (H,DEPARTU,DESTINAT,MASTER,# CREW,# PASS,LIVES LOS,SHIP VAL,CARGO V,NATURE O,USLSS STA,LOST,PHOTO O,MISC INF,MUSEUM CROSS REFERENCE
Fertler,,,Schooner,,,1/1798,1798,1,,Long Beach Island,,,,,,,Denmark,,,,,,,,,Lufter,3,,,,,,,,N,,
Fillet,,,,,,1938,1938,,,,,,40-06 N,71-00 W,Sank,,,,,,,,,,,,,,,,,,,Y,N,,
Finance,,Panama R,Steamshi,1882,"Chester, P",########,1908,11,26,Sandy Hook,,,,,Collision,Iron,US,295,38.4,23.4,26003,1919.08,"New York,","New York,","Cristobal,",Norman,73,75,4,,,General plus gold,,Y,Y,"#120531; Sunk, Some jewelry & gold recovered",
Findlay,,,Sloop,1878,Rockaway,9/6/1903,1903,9,6,Sandy Hook,,,,,Foundere,Wood,US,33.5,13.5,3.5,9,8,"Perth Amboy, NJ",,,,,,,,,,,,N,#120341,
Fire Fly,,,Sloop rigged lighter,,,1/8/1884,1884,1,8,Great Egg Harbor SW .5 mi,,,,,,,,,,,,,Somers P,Ocean Cit,Drifting; no one on b,,0,,,$100,,None,Great Egg,Y,N,Total loss,See Misc File Drawer
Firing Ran,Dive boat capt nickn,,Sailing ship,,,,,,,Sea Girt Ri,,,40-07-00,74-01-75 W,,,,,,,,,,,,,,,,,,,Diving wr,Y,N,Unknown history,
First Consul,,,Schooner,,,5/31/1837,1837,5,31,Delaware Bay,,,,,"Collision w/ ""Pennsylvania""",,,,,,,,"Egg Harbor, NJ",,,,,,,,,,,Y,N,Sunk; cre,See scrapbooks 38 - 43 - Purple Misc
First Lady,,M & P Boa,Clam dredge,,,7/6/1985,1985,7,6,Atlantic Ci,,,39-13-703,74-12-486,Opened s,Steel,US,95,23,27,,,NJ AR,AC,4,,,,,,,,,Y,Y,Dredged for surf clams,
Fisher,,,Schooner,,,1/25/1875,1875,1,25,Cape May SE 45 mi,,,,,Damaged in gale,,,,,,86.48,,"Kingston,","Raritan, N","Boston, MA",,,,,,,,,N,N,#9504; Par,See scrapbooks 38 - 43 - Purple Misc
Fisherma,ST-18,Spentonb,Tanker barge,,,8/7/1997,1997,8,7,Sea Girt A,,,40-07-930,73-55-942,Explosive,Steel,US,242,42,20,,,NJ AR,SG,65,,,,,,,,,Y,Y,Sponsor -,See Misc File Drawer
Fishing Bo,Dive boat capt nickn,,Fishing boat,,,10/22/188,1889,10,22,Cape May LSS W .5 mi,,,,,,,,,,,,,,,,,,2,1,,,,Diving wr,Y,N,Unknown history,
Fitzpatrick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Only photo in folder,
Five Sisters (1817),,,Schooner,,,1/1817,1817,1,,Cape May Egg Island,,,,,Driven ashore,,,,,,,,,,"Baltimore, MD",,,,,,,,,,N,,
Five Sisters (1880),,W E Hutch,Schooner,1868,"Machias,",3/16/1880,1880,3,16,Toms River LSS E,,,,,Stranded,,,,,,146,,"Boston, M",Puerto Ric,"New York,",W E Hutch,6,,0,"$3,000","$8,000",Sugar & M,Toms Rive,Y,N,#9819; Total loss,
Five Sloops (not real name),,,,,,########,1972,5,20,Brigantine,,,,,3 In distress/ 2 stran,,"""Galaxy""","""Kolindi II","""Windvie","""Kappy""","""Amagagoc""",,,,,,,,,,,,,,N,Each ship also has own file,
Flaneuse,,Kelly Carr,Motor ves,1911,"Le Havre,",########,1941,8,10,Sandy Hook,,,,,Foundered,,,42.5,8.6,4,12,8,"New York, NY",,,,16,,0,,,,,Y,N,#230860 Total loss,
Flash (1880),,,Sloop,1878,Perth Am,1/3/1880,1880,1,31,Barnegat Inlet,,,,,Grounded,,,31,11.6,3.9,9,8.36,Perth Am,"Seabright,","Barnegat,",Morton,2,,0,"$1,000",,None,Barnegat,,N,#120338,
Flash (1886),,,,,,2/25/1886,1886,2,25,Brigantin,,,39-23-00,74-23-30 W,,,,,,,,,,,,,,,,,,,,,N,,
Fleetwing,,W F Frien,Schooner,1868,"Essex, MA",5/28/1873,1873,5,28,Corsons Inlet bar,,,,,Stranded,,,,,9,59,,New Bedf,New Bedf,Philadelp,Flanders,6,,0,"$4,000","$1,000",Ice & fish,Corson's Inlet # 32,,N,,
Fleur De Lis,,,Steamshi,1891,Wilmingt,8/15/1897,1897,8,15,Cape May LSS N 2 mi,,,,,Stranded,,,45,9,4,13,7,Philadelp,"Lewes, DE",Cape May,Lubker,3,,0,"$4,000",,,Cape May,N,N,#120847 Refloated,
Flight,,,Bark,,,3/1868,1868,3,,"Long Branch, NJ",,,,,Dismasted in gale,,,,,,,,,,,,,,,"$50,000",,,,N,N,"Partial loss; Towed in by ""Winans""",
Flor del Mar,,,Schooner,,,9/12/1847,1847,9,12,Delaware Breakwater,,,,,Grounded,,,,,,,,Portsmou,Philadelp,"Boston, MA",,,,,,,,,Y,N,Broke up; Total loss,
Flora,,,Bark,,,12/31/186,1865,12,31,Squan Beach,,,,,Wrecked,,US,,,,194,,,"Mobile, A","New York, NY",,12,,0,,,Cotton,Squan Be,Y,N,Total loss,
Flora A Kimball,,Henry For,Schooner,1904,Millbridg,########,1915,4,10,Barnegat Shoal,,,,,Stranded,Wood,US,140.7,32.3,11.4,401,321,"Bangor, ME",,,,7,,0,,,Lumber,"Barnegat,",N,N,#201051; Refloated,
Flora Curtis,,James Cur,Schooner,1873,Newtown,8/19/1879,1879,8,19,Atlantic Ci,,,39-24-00,74-18-00,Grounded in gale,,,,,,83,,Perth Am,"Old Point,","New York,",Asher Cur,4,,0,"$8,000",$500,Wood,Atlantic Ci,Y,N,#120108; Total loss; USLSS keepers dismissed,
Flora Woodhouse,,,Schooner,,,3/12/1888,1888,3,12,Barnegat Light SE 6 mi,,,,,Damaged in gale,,US,,,,266,,,"Laguano,","New York, NY",,,,2,,,Logwood,Barnegat,N,N,Partial loss,
Florence (1873),,,Schooner,,,12/7/1873,1873,12,7,Cold Spring Bar,,,,,Stranded,,,,,,,,,,,,,,,,,,,N,N,Refloated undamaged,
Florence (1877),,,Schooner,,,11/16/187,1877,11,16,Cold Spring Bar,,,,,Grounded,,,,,,32,,Cape May,Philadelp,Cape May,Neal,11,,0,"$2,000",$300,"Stone, co",Cold Sprin,Y,N,#9633; Total loss,
Florence (1888),,,Brig,,,1/27/1888,1888,1,27,Barnegat S,,,,,Lost anchor & chain,,,,,,,,,"Savannah,","New York,",Atkins,,,,,,,,N,N,Partial loss,
Florence (1890),,,Yacht stea,1881,Philadelp,8/9/1890,1890,8,9,Little Egg Harbor Inlet,,,,,Grounded,Wood,,77.2,14.6,7,51,30,Philadelp,Beach Hav,Atlantic Ci,Baole,8,,0,"$8,000",,,,N,N,#120617; Refloated,
Florence and Lillian,,,Schooner,1874,"Leesburg,",10/15/189,1898,10,15,Sandy Hook Romer Shoal,,,,,Stranded,,,124,30.3,8.9,252,211,Bridgeton,"Norfolk, V","New York,",Smith,7,,0,"$4,000","$5,000",Lumber,,,N,#120115,
Florence Creadick,,William M,Schooner,1890,"Milton, DE",########,1915,11,30,Barnegat N 5 mi,,,,,Collision,Wood,,164.4,35,13.3,730,657,Philadelp,"Camden,","New York,",William M,8,0,0,"$20,000","$10,000",830 ton lumber,,N,N,#120791; Damaged,
Florence Davis,,,Schooner,1899,Dorcheste,8/31/1899,1899,8,31,Atlantic City LSS S .75 mi,,,,,Stranded,,,,23,6.4,69,31,Bridgeton,Atlantic Ci,Maurice R,Smith,3,2,0,"$5,000",,None,Atlantic Ci,N,N,#121105; Refloated,
Florence I Lockwood,,,Schooner,1867,"Norwalk,",4/29/1884,1884,4,29,Brigantine Shoal,,,,,Stranded,,,103,30.5,9.5,299,284,"Boston, M",Hurricane,Philadelp,King,6,,0,"$7,500","$1,600",Stone,Brigantin,N,N,#9677; Refloated,
Florence L Schepp,,S & H Boar,Schooner,1880,"Bath, ME",1/18/1884,1884,1,18,Brigantine Shoal,,,,,Grounded,,,103.1,27.1,10.1,198,,,Port de Pa,"New York,",William Crabbe,,,,,,,,N,N,#120392; Refloated,
Florence May,,,Sloop,1898,,########,1918,2,16,"Dennisville, NJ",,,,,Crushed by ice,,,,,,8,,,,,,0,0,0,,,,,Y,N,#121173; Sunk,
Florence Russell,,,Schooner,1890,"Leesburg,",9/15/1899,1899,9,15,Great Egg LSS WSW 1.25 mi,,,,,Stranded,,,71.2,23.6,5,60,41,Bridgeton,Haverstra,"Longport,",Gant,4,,0,"$4,000",$290,Bricks,,N,N,#120819; Refloated,
Florence,John D Co,Dormell &,Schooner,1906,"Rockland,",########,1920,5,12,"Seagirt, NJ",,,,,"Collision w/ ""Larami",,US,191.6,39.2,12.1,1042,946,"Boston, MA",,,H M Blake,14,,0,,,,,Y,N,"#203149; Total loss; Originally ""John D Colwell""",
Florida (1837),,,Brig,,,3/1837,1837,3,,Pecks Beach,,,,,Grounded in gale,,,,,,,,,"Georgetown, SC",,,,,,,,,,,N,,
Florida (1841),,,Bark,,,9/21/1841,1841,9,21,Brigantin,,,39-23-00,74-23-30,Grounded,,,,,,,,New Bedf,"Canton, C","New York,",Faucon,,,0,,"$200,000","Tea, rhubarb, cassia,",,Y,N,Total loss,
Florida (1892),,Old Baylin,Sidewhee,1876,Baltimore,4/28/1892,1892,4,28,Atlantic City,,,,,Foundere,Wood,,260,36.1,13.6,1279.82,900.28,"Baltimore, MD",,,,,,,,,,,,Y,#120257 In tow to scrap yard,
Florida Wreck,,,,,,########,1956,8,30,Atlantic Ci,,,39-20-00,74-28-00 W,,,,,,,,,,,,,,,,,,,,Y,N,21 ft; Named by location of event - Florida Ave,
Flottbek,,Finch Edg,Freighter,1891,Newcastl,########,1901,11,23,Monmouth Beach LSS S 1.25 mi,,,,,Stranded i,Steel,Germany,273,42.1,24,1961,1861,"Hamburg,",Plymouth,"New York,",Les Zingle,24,,0,"$80,000","$30,000","China, cla",Monmout,N,Y,Cargo removed; Refloated,
Flour Wreck,,,Freighter,,,1938,1938,,,Atlantic Ci,,,39-21-12,74-12-54 W,,,,,,,,,,,,,,,,,,Flour,,Y,N,Hydro Office #596,
Fly,6 gun Schooner,,Schooner armed,,,1778,1778,,,Delaware,,,38-56-35,Unknown,Burned to prevent capture,,,,,,,,,,,,,,,,,,,Y,N,Burned to prevent British capture,
Fly No 4,,,Pilot boat,,,1843,1843,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,N,Lost w/ all hands,
Flying Dutchman,,,Clipper sh,1852,"New York,",2/25/1858,1858,2,25,Brigantine Beach,,,,,Stranded,Wood,,190,38.6,21.6,1257,,"New York,",San Franci,"New York,",Hubbard,,,0,"$50,000","$150,000",Wheat & hides,,Y,N,Broke up; Total loss,
Flying Saucer,,,Tour boat,,,8/5/1964,1964,8,5,"Ocean City, NJ",,,,,Beached,,,85,,,,,,,,Chris Montagna,,85,0,,,,,N,N,Beached to save passengers; Refloated,
Flyng Scud,,,Sloop,1867,"Brooklyn,",########,1900,4,14,Atlantic City LSS N 1.5 mi,,,,,Capsized in squall,,,58,14.7,4.3,17,9,"Chincoteague, VA",,,Sharpley,2,,0,"$1,200",,,Atlantic Ci,Y,N,#9430; Refloated,
Foam,,,Yacht,,,7/27/1885,1885,7,27,"Key East, NJ",,,,,Damaged in gale,,,,,,,,,,,,,,,,,,,N,N,,
Forest (1841),,,Brig,,,4/20/1841,1841,4,20,Sandy Hook,,,,,Stranded,,,,,,,,"New York,",Mayaguez,"New York,",Lane,,,,,,,,N,N,Refloated,
Forest (1848),,,Brig,,,3/2/1848,1848,3,2,Hereford Inlet bar,,,,,Grounded,,,,,,,,"New York,",Philadelp,"New York, NY",,,,,,,,,Y,N,Total loss,
Forest Oak,,H Parlis et,Schooner,1871,East New,11/21/188,1880,11,21,Hereford LightE 3 mi,,,,,"Collision w/ ""Bessie Morris""",,,128.2,32.3,11.2,327,,New Have,Baltimore,New Have,C H Chambers,,,,,,509 ton coal,,Y,N,#9960; Sank,
Formosa,,W Muirhe,Bark,1873,Richibuct,11/11/0188,1880,11,11,Squan Beach,,,,,Grounded,,England,154.6,30.1,19.2,638,,Miramichi,"New York,",Charlesto,Stewart,14,,0,"$28,000",,Ballast sa,Squan Be,Y,N,#61418; Condemned,
Fort Victoria,,Bermuda,Passenger,1922,,########,1929,12,18,Ambrose,,,40-28-35,73-53-10,Collision,Steel,England,411.7,56.7,34.1,7784,4532,,"New York,",Bermuda,,,400,0,,,General cargo,,Y,Y,Capsized & sank; Total loss,
Fortitude,,,Schooner,,,11/7/1842,1842,11,7,Between Shrewsbury Inlet & D,,,,,Stranded,,,,,,,,,"Philadelphia, PA",,,,,1,,,Coal,,Y,N,Total loss,
Fortuna (1894),,N B Bowe,Schooner,1883,"Boston, M",6/27/1894,1894,6,27,Highlands SE 15 mi,,,,,Collision i,Wood,,151.4,34.5,14.5,612.82,582.18,"Boston, M",Lanes Isla,Philadelp,N McLeod,8,0,0,"$22,000","$10,000",1000 ton paring stone,,,N,#120553,
Fortuna (1910),,,Bark,1869,"Hamburg,",########,1910,1,18,Ship Bottom LSS NE .5 m,,,,,Grounded,Iron,Italy,185,33.1,20.1,924,,"Trapani, S",Montevid,"New York,",Andragua,13,4,0,"$8,000",,,Ship Bottom,,Y,Trading Vessel,
Fortunato,,,Brig,,,8/20/1852,1852,8,20,Squan Beach,,,,,Stranded,Wood,Italy,,,,,,"Sardinia, Ialy",,"New York, NY",,10,,0,,,"Marble, wine",,Y,N,Total loss,See Misc File Drawer
Forty Foot,Dive boat capt nickn,,Fishing boat,,,6/9/1955,1955,6,9,Great Egg,,,39-17-30,74-26-00 W,,,,40,,,,,,,,,,,,,,,Diving wr,Y,N,Unknown history,
Fos,,,Steamshi,1888,"Stockton,",########,1903,2,28,Holly Beach LSS E 1.5 mi,,,,,Stranded,Steel,Norway,297.8,40.4,19,2447,1581,"Tonsberg,",Santiago,Philadelp,L Tufte,25,,0,"$55,000","$5,400",Iron ore,Holly Bea,N,N,Refloated,
Fosstena,,Henry Hal,Motor ves,1901,"Fall River,",########,1935,1,15,Sandy Hook,,,,,Foundere,Wood,,40.2,13.2,5,15,10,"New York, NY",,Fishing service,,4,,0,,,,,,N,#121265,
Foster,,,Schooner,1898,"Bath, ME",9/8/1917,1917,9,8,Absecon,,,,,Foundere,Wood,US,183.8,35.2,16.1,841,741,"Fall River,","Norfolk, V","Fall River, MA",,4,,0,,,Coal,,Y,N,#121080; Total loss,
Four Daughters,,,Motor ves,1926,,########,1930,6,27,Ambrose Lightship,,,,,Burned,Wood,,,,,42,,,,,,7,,0,,,,,,N,,See scrapbooks 38 - 43 - Purple Misc
Four of Cl,Megan Sue,,Tug,,,1/9/2005,2005,1,9,Axel Carls,,,40-03-181,73-59-310,Scuttled,Steel,US,75,,,,,NJ AR,AXC,115,,,,,,,,,Y,Y,"Sponsor - Ocean Wreck Divers, et al",
Four-in-O,Four-and-,Edward M,Yacht motor,,,########,1958,8,19,Great Egg Harbor Inlet,,,,,Breached and capsized,,,29,,,,,,,Fishing trip,,10,,3,,,,Ocean Cit,Y,N,Total loss,
Fowler,,,Schooner,1841,"Maitland,",12/23/186,1864,12,23,Barnegat,,,,,Ashore,Wood,,,,8,90,,Cheverie,"New York,","Baltimore, MD",,,,,,,Merchandise,,,N,#1693,
Fox,,,Schooner,,,2/10/1839,1839,2,10,Brigantine Beach,,,,,Sank,,,,,,,,,,"Washington, DC",,,,0,,,,,Y,N,,
Foyle,,J Nourse,,1874,Sunderlan,1/25/1896,1896,1,25,Monmouth Beach LSS E .25 mi,,,,,Stranded,,England,243,38.8,24.2,1598,1528,"London, E","Calcutta, I","New York,",Hopps,27,,0,"$20,000","$50,000","jute, saltpeter, & ginger",,,N,#70642,
France,,,Bark,,,2/25/1875,1875,2,25,NJ Coast E .5 mi,,,,,Wrecked,,,,,,,,,"Havre, Bel","New York, NY",,,,,,,General,,Y,N,,
Frances C,,Abraham,Motor ves,1918,Friendshi,########,1958,10,21,Brigantine Island North tip,,,,,Stranded,Wood,,45.6,15.5,6.4,28,19,"New York,","Brooklyn, NY",,,,,,,,,,,N,#216832,
Frances Reyester,,,Schooner,,,7/31/1876,1876,7,31,Barnegat Inlet North side,,,,,Abandoned / Drifted Ashore,,,,,,,,"Seaford, DE",,,,,,,,,Wood,,Y,N,Total loss,
Frances Smith,,,Schooner,1873,Port Jeffe,########,1910,6,27,Hereford Inlet LSS ENE 1.5 mi,,,,,Stranded,,,80,23.2,5,48,46,"Somers Point, NJ",,,,11,,0,"$8,000",$700,Fish,Hereford I,N,N,#120128; Refloated,
Francis (1767),,,Brig,,,11/2/1767,1767,11,2,Delaware Capes S,,,,,Grounded in gale,,,,,,,,,New Orle,Philadelp,Sampson,,,,,,,,Y,N,Broke up,
Francis (1827),,,Brig,,,1/1/1827,1827,1,1,Cape May,,,,,Driven out to sea,,,,,,,,,,,Croft,,,,,,,,Y,N,,
Francis (1883),,,Schooner,,,7/20/1883,1883,7,20,Five Fathom Bank Lightship E 5,,,,,Sank,,,,,,,,"Montreal,",Mayaguez,"New York,",Auberley,,,,,,Molasses,,Y,N,"Crew landed at Lewes, DE",
Francis (1897),,New Bedf,Yarder 3 s,1885,"Bath, ME",5/8/1897,1897,5,8,Little Egg,,,39-29-25,74-15-25,Burned,Wood,US,231,43.4,26.6,2077,1973.53,New Bedf,San Franci,"New York,",Smith,25,0,0,"$50,000","$250,000",General/,Little Egg,Y,N,#120628; via Cape Horn,
Francis (1950),,,Sailing ship,,,1950,1950,,,Brant Bea,,,39-36-30,74-11-06,Sank,,,,,,,,,,,,,,,,,,,,N,,
Francis B Thurber,,,Barge steam,,,4/9/1903,1903,4,9,,,,,,Foundered,,,,,,131,,,Perth Am,"Bridgeport, CT",,4,2,2,,,Coal,,N,N,Partial loss,
Francis Barrow,,,Schooner,,,1/8/1870,1870,1,8,Jersey Flats near Bedloe's Islan,,,,,Sank,,,,,,48,,"New York,",Perth Am,"New Haven, CT",,,,,,,,,Y,N,,
Francis Burritt,,Norton et,Schooner,1853,"Westport,",11/20/187,1879,11,20,Sandy Hook Lightship SE 60 mi,,,,,Damaged,Wood,US,,,,206,,"Westport,","New York,",Wilmingt,Mills,5,,0,,,Pig Iron,,Y,N,"#9528; Sank; Crew rescued by ""Andes""",
Francis C,,,,,,########,1953,11,7,Scotland Lightship S 6 mi,,,,,In distress during storm,,,60,,,,,,,Fishing trip,,5,,0,,,,,N,N,"Towed in by USCG ""Tamorara""",
Francis E Hallock,,,Schooner,1869,Northport,11/29/189,1890,11,29,Barnegat,,,,,Capsized/,Wood,US,118.8,30.8,7.8,215,205,"New York,","New York,","Norfolk, VA",,,,1,,,In ballast,,Y,N,#9837,
Francis J Campbell,,,Sloop / un,1868,Staten Isl,3/7/1894,1894,3,7,Corsons Inlet LSS SW 1.5 mi,,,,,Grounded,Wood,US,36,14.8,3.7,11.72,11.14,Bridgeton,Townsen,Great Egg,Hilton,2,0,0,$400,$100,Cedar pas,Corsons Inlet Station,,N,#9813,
Francis Perkins #13,,NY & Sand,Pilot scho,1866,Greenpoi,1/24/1887,1887,1,24,Barnegat Shoal,,,,,Grounded; Refloated; Sank,,,,,,52.44,49.82,"New York,","New York,",Pilot servi,Walter A,8,0,2,$100,,,Cadwick,Y,N,#9391; Lif,See scrapbooks 38 - 43 - Purple Misc
Francis S Bushey,,Spentonb,Tanker,1957,"Brooklyn,",########,1986,4,13,Atlantic Ci,,,39-14-203,74-12-148,Opened h,Steel,US,247,,40,,,NJ AR,AC,7,,,,,,,,,Y,Y,Sponsor - Spentonbush Red Star Co,
Francis W,"Hibiscus,",John S Wr,Steamshi,1864,Fairhaven,5/1/1873,1873,5,1,Barnegat Light NE 8 mi,,,,,Foundere,Wood,US,165,31,9,627,,"New York,","New York,",Wilmingt,Fairchild,,,0,"$30,000","$25,000",,,Y,Y,"AKA ""Hibiscus""; nick ""Emerald""",
Franconia,,,Schooner,1862,"Sworey,",6/17/1896,1896,6,17,Sandy Hook LSS NW .3 mi,,,,,Stranded,,,92,25.5,8.3,136,129.2,"Ellsworth,",Maurice R,"Lynn, MA",Young,2,0,2,"$2,000",$200,Sand,,N,N,#9230 Refloated,
Frank & Nellie,,,Schooner,,,3/10/1870,1870,3,10,"Off Barnegat, NJ",,,,,Damaged in gale,,,,,,,,"Cardenas, Mexico",,,,,,,,,,,N,N,,
Frank A Palmer,,N J Palme,Schooner,1897,"Bath, ME",7/22/1899,1899,7,22,Tathams LSS NE 3.5 mi,,,,,Stranded,,US,274.5,43,21,2014,1831,"Bath, ME","Bangor, M",Newport,Rawding,14,0,0,"$75,000",,,Avalon; T,N,N,#121037; Refloated,
Frank A Williams,,,Schooner,1869,"Essex, MA",8/29/1893,1893,8,29,Sandy Hook LSS S 1.25 mi,,,,,Stranded,Wood,,72,21,7,66.99,63.17,"Gloucester, MA",,Fishing trip,,11,0,0,"$2,100",,,,N,N,#9853; Refloated,
Frank B Colton,,,Schooner,1867,"Milford, D",3/11/1877,1877,3,11,Turtle Gut Inlet North bar,,,,,Stranded,,US,114.5,29.5,9.9,275,,Philadelp,"Boston, M",Philadelp,Fraubes,7,,0,"$5,000",,None,Turtle Gut,N,N,#9693; 7 crew saved; Refloated,
Frank C Barker,,,Sloop,1871,Greenpor,10/8/1895,1895,10,8,Sandy Hook point,,,,,Stranded,,US,49.3,18.5,5,23.97,22.78,"Perth Amboy, NJ",,Fishing tri,Walling,9,,0,"$1,000",,,Sandy Ho,N,N,#9955; Refloated,
Frank Clark,,Morton et,Brig,1867,Damarisc,3/17/1876,1876,3,17,Barnegat E 1.5 mi,,,,,Collision,Wood,US,113.8,27.1,11,297.05,,Damarisc,St Thomas,"New York,",Samuel Morton,,,3,,,"Fish, wines, ets",,Y,N,#9754; Total loss,
Frank Harrington,,C S Kent e,Schooner,1880,Waldobor,5/13/1885,1885,5,13,Barnegat Light SE 10 mi,,,,,"Collision w/ ""Mary E",,US,160,33,15,634.38,602.66,"Boston, M",Baltimore,"Boston, MA",,,,,,,Coal,,N,N,#120418; Partial loss,
Frank Herbert,,,Schooner,1855,East Have,########,1902,2,13,"Cold Spring, NJ",,,,,Cut by ice,Wood,US,102.6,27.8,9.7,183,174,,"Ocracoke,","New York,",Morgan,,,,,,Pine wood,,Y,N,#9121,
Frank Leaming,,B Babcock,Schooner,1873,Dennisvill,3/20/1887,1887,3,20,Hereford Inlet,,,,,Damaged in squall,,US,120.6,32,9,257,244,Philadelp,"Boston, M",Philadelp,J McKeag,7,0,0,"$10,000",,In ballast,,N,N,#120114,
Frank Pearson,,,Schooner,,,1/21/1880,1880,1,21,Island Beach LSS S 1 mi,,,,,Stranded,,,,,,82.82,,"Rockland,",Richmond,"New York,",Cushman,4,0,0,"$10,000","$1,500",Railroad ti,Island Bea,N,N,#120346; Refloated,
Frank Pendelton,,,Schooner,1874,"Belfast, M",3/8/1917,1917,3,8,Ambrose Channel,,,,,Foundered,,US,200,39,25,1342,1093,"New York, NY",,,,4,0,0,,,,,Y,N,#120156; Total loss,
Frank Pratt Lee,,B E Etheri,Schooner,1882,"Camden,",11/6/1884,1884,11,6,Monmouth Beach E .5 mi,,,,,Stranded,,US,144.3,35,15.9,600.8,570.76,Philadelp,Baltimore,Stapleton,W E Lee,8,0,0,"$35,000","$3,000",Coal,,N,N,#120525; Refloated,
Frank Vanderherche,,John G Sc,Schooner,1884,"Camden,",1/8/1894,1894,1,8,Point Pleasant E 2 mi,,,,,Collision,Wood,US,141.5,34.8,15.1,538,510.91,Philadelp,"New York,",Charlesto,J T Torbert,,,,"$18,000","$8,150","Nitrate of soda, drie",,N,N,"#120581; Towed to Jersey City, NJ",
Frankfort,,New Orle,Packet shi,1839,"New York,",1/14/1842,1842,1,14,Little Egg Harbor bar,,,,,Grounded,,US,151,34,20,799,,"New York,",New Orle,"New York,",Russell,,,,"$100,000",,,,Y,N,Total loss,
Franklin (1810),,,,,,12/1810,1810,12,,Cape May,,,,,Cut by ice,,,,,,,,,Philadelp,"Charleston, SC",,,,,,,,,,N,,
Franklin (1825),,,Packet shi,1819,Killingwor,4/28/1825,1825,4,28,Island Beach,,,,,Grounded in fog,,,84,25.1,11.6,212,,,,,Joseph Monroe,,,,,,,,,N,Cargo plundered by locals,
Franklin (1838),,,Pilot boat,,,~1838,1838,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,N,All hands lost,
Franklin (1872),,,Schooner,,,3/27/1872,1872,3,27,Highlands SE 50 mi,,,,,Damaged in Gale,,,,,,,,Wiscasset,Wiscasset,"Boston, MA",,,,,,,,,N,N,Towed to NY,
Franklin (1932),,,Sidewhee,1876,,########,1932,10,28,,,,,,Burned,,,,,,633,,"Philadelphia, PA",,"Philadelphia, PA",,,,,,,,,,N,,
Franklyn,Franklin D Nelson,,Schooner,1868,"Groton, C",########,1910,2,11,Spermaceti Cove SSE 3.75 mi,,,,,Stranded,,US,51.2,17,7,29.75,28.27,"New York, NY",,Fishing trip,,8,0,0,$900,$60,Fish,Spermceti Cove,,N,#9756,
Fred B Taylor,,William L,Ship,1883,"Tusket, N",7/31/1886,1886,7,31,Barnegat E 25 mi,,,,,Lost spars/sails in sq,,England,237,42,24,1798,,Yarmouth,Manila,"New York, NY",,,,,,,,,N,N,,
Fred E Scammell,,Scammell Bros,,1880,Eatonville,1/18/1883,1883,1,18,Brigantine Shoal E 3 mi,,,,,Stranded,,England,195,39,22.5,1350,,Parrsboro,"Antwerp,","New York,",Anderson,,17,0,"$70,000","$30,000",Iron & em,Brigantine,N,N,"#80366; Refloated; Damage ~$25,000",
Fred Munster,,,Barge,1929,,########,1950,5,19,South Amboy Coal Docks,,,,,Burned,,,,,,523,,,,,,,,,,,,,Y,N,Burned at dock,
Fred W Thurlow,,Crowell &,Schooner,1901,"Bath, ME",4/9/1927,1927,4,9,"Highlands Light, NJ",,,,,Foundered,,US,195,40,18.4,1191,1042,"Boston, MA",,Freight se,Frank W Patten,,,0,,,,,,N,#93102; May have been abandoned,
Freddie Hencken,,Hencken,Schooner,1882,Greenpor,9/26/1886,1886,9,26,Sandy Hook,,,,,Collision w/ submerged dredg,,,135,25,10.6,326,,,Virginia,"New York,",Thompson,,,,,,,,,N,#120518,
Frederica (1903),,,Schooner,1889,,########,1903,9,15,Delaware Bay,,,,,Foundered,,,,,,56,,,,,,,,,,,,,,N,,
Frederica (1914),,,Steamshi,1899,,########,1914,4,28,Harvey Cedars SSE 1 mi,,,,,Grounded,Steel,Austria,340,46,17.9,3530,2261,"Trieste, A",Cienfueg,"New York, NY",,28,0,0,"$80,000","$330,000",Sugar,Harvey Ce,N,N,Refloated,
Frederick J Collins,,John Tow,Schooner,1874,Somers P,2/22/1885,1885,2,22,"Ocean City, NJ",,,,,Burned,,US,130,33,14,406,,Somers P,Galveston,"Boston, M",Henry Theissins,,,,,"$70,000 sh",Cotton & old iron,,Y,N,#120163; Total loss,
Frederick R Kellogg,,Pan-Amer,Tanker,1917,"Oakland,",########,1918,8,15,Barnegat Light NE 12 mi,,,,,Torpedoe,Steel,US,425.8,57,31.4,7127,4418,Los Angel,"Tampico,","Boston, M",C H White,42,0,7,,,"70,000 bbls crude oil",,N,Y,#215424;,Scrapbook #15
Freefall,,,Sailboat,,,,,,,Atlantic City E 110 mi,,,,,In distress,,US,44,,,,,,"Newport,",South Carolina,,3,,1,,,,USCG Atla,Y,N,,
Freehold,,,Steamshi,1903,,5/7/1941,1941,5,7,Delaware Bay Lisbon Range Bu,,,,,Foundered,,,,,,220,,,,,,,,,,,,,,N,,See Misc File Drawer
